Name,Data Types,Default Task,Attribute Types,# Instances,# Attributes,Year
Abalone,Multivariate,Classification,"Categorical, Integer, Real",4177,8,1995
Adult,Multivariate,Classification,"Categorical, Integer",48842,14,1996
Annealing,Multivariate,Classification,"Categorical, Integer, Real",798,38,nan
Anonymous Microsoft Web Data,nan,Recommender-Systems,Categorical,37711,294,1998
Arrhythmia,Multivariate,Classification,"Categorical, Integer, Real",452,279,1998
Artificial Characters,Multivariate,Classification,"Categorical, Integer, Real",6000,7,1992
Audiology (Original),Multivariate,Classification,Categorical,226,nan,1987
Audiology (Standardized),Multivariate,Classification,Categorical,226,69,1992
Auto MPG,Multivariate,Regression,"Categorical, Real",398,8,1993
Automobile,Multivariate,Regression,"Categorical, Integer, Real",205,26,1987
Badges,"Univariate, Text",Classification,nan,294,1,1994
Balance Scale,Multivariate,Classification,Categorical,625,4,1994
Balloons,Multivariate,Classification,Categorical,16,4,nan
Breast Cancer,Multivariate,Classification,Categorical,286,9,1988
Breast Cancer Wisconsin (Original),Multivariate,Classification,Integer,699,10,1992
Breast Cancer Wisconsin (Prognostic),Multivariate,"Classification, Regression",Real,198,34,1995
Breast Cancer Wisconsin (Diagnostic),Multivariate,Classification,Real,569,32,1995
Pittsburgh Bridges,Multivariate,Classification,"Categorical, Integer",108,13,1990
Car Evaluation,Multivariate,Classification,Categorical,1728,6,1997
Census Income,Multivariate,Classification,"Categorical, Integer",48842,14,1996
Chess (King-Rook vs. King-Knight),"Multivariate, Data-Generator",Classification,"Categorical, Integer",nan,22,1988
Chess (King-Rook vs. King-Pawn),Multivariate,Classification,Categorical,3196,36,1989
Chess (King-Rook vs. King),Multivariate,Classification,"Categorical, Integer",28056,6,1994
Chess (Domain Theories),Domain-Theory,nan,nan,nan,nan,nan
Bach Chorales,"Univariate, Time-Series",nan,"Categorical, Integer",100,6,nan
Connect-4,"Multivariate, Spatial",Classification,Categorical,67557,42,1995
Credit Approval,Multivariate,Classification,"Categorical, Integer, Real",690,15,nan
Japanese Credit Screening,"Multivariate, Domain-Theory",Classification,"Categorical, Real, Integer",125,nan,1992
Computer Hardware,Multivariate,Regression,Integer,209,9,1987
Contraceptive Method Choice,Multivariate,Classification,"Categorical, Integer",1473,9,1997
Covertype,Multivariate,Classification,"Categorical, Integer",581012,54,1998
Cylinder Bands,Multivariate,Classification,"Categorical, Integer, Real",512,39,1995
Dermatology,Multivariate,Classification,"Categorical, Integer",366,33,1998
Diabetes,"Multivariate, Time-Series",nan,"Categorical, Integer",nan,20,nan
DGP2 - The Second Data Generation Program,Data-Generator,nan,Real,nan,nan,nan
Document Understanding,nan,nan,nan,nan,nan,1994
EBL Domain Theories,nan,nan,nan,nan,nan,nan
Echocardiogram,Multivariate,Classification,"Categorical, Integer, Real",132,12,1989
Ecoli,Multivariate,Classification,Real,336,8,1996
Flags,Multivariate,Classification,"Categorical, Integer",194,30,1990
Function Finding,nan,Function-Learning,Real,352,nan,1990
Glass Identification,Multivariate,Classification,Real,214,10,1987
Haberman's Survival,Multivariate,Classification,Integer,306,3,1999
Hayes-Roth,Multivariate,Classification,Categorical,160,5,1989
Heart Disease,Multivariate,Classification,"Categorical, Integer, Real",303,75,1988
Hepatitis,Multivariate,Classification,"Categorical, Integer, Real",155,19,1988
Horse Colic,Multivariate,Classification,"Categorical, Integer, Real",368,27,1989
ICU,"Multivariate, Time-Series",nan,Real,nan,nan,nan
Image Segmentation,Multivariate,Classification,Real,2310,19,1990
Internet Advertisements,Multivariate,Classification,"Categorical, Integer, Real",3279,1558,1998
Ionosphere,Multivariate,Classification,"Integer, Real",351,34,1989
Iris,Multivariate,Classification,Real,150,4,1988
ISOLET,Multivariate,Classification,Real,7797,617,1994
